day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/10/3,Aztec Connect,265,231.4576685,0,231.4576685,231.4576685,101,279149.226,55553.98835,223595.2377,334703.2144
2022/10/4,Aztec Connect,290,351.8675246,0,351.8675246,351.8675246,114,293558.1583,159702.8202,133855.338,453260.9785
2022/10/5,Aztec Connect,337,310.1509969,0,310.1509969,310.1509969,119,117321.9373,55643.00677,61678.93049,172964.944
2022/10/6,Aztec Connect,310,263.2248658,0,263.2248658,263.2248658,131,188725.3308,246221.8361,-57496.50524,434947.1669
2022/10/7,Aztec Connect,397,414.9526481,0,414.9526481,414.9526481,128,240153.4626,297291.1565,-57137.69388,537444.6192
2022/10/8,Aztec Connect,322,436.3993765,0,436.3993765,436.3993765,92,66369.703,72295.73031,-5926.027309,138665.4333
2022/10/9,Aztec Connect,231,591.057318,0,591.057318,591.057318,68,105432.9332,95934.85353,9498.079707,201367.7868
2022/10/10,Aztec Connect,200,437.4537065,0,437.4537065,437.4537065,82,74395.07238,74974.44604,-579.3736631,149369.5184
2022/10/11,Aztec Connect,294,629.420672,0,629.420672,629.420672,78,173103.7188,83601.52842,89502.19042,256705.2473
2022/10/12,Aztec Connect,271,476.2623672,0,476.2623672,476.2623672,81,148616.0066,109013.9778,39602.02882,257629.9844
2022/10/13,Aztec Connect,307,727.3200383,0,727.3200383,727.3200383,68,102842.2737,126916.6569,-24074.3832,229758.9307
2022/10/14,Aztec Connect,280,388.3097667,0,388.3097667,388.3097667,78,67287.93178,148261.6675,-80973.73573,215549.5993
2022/10/15,Aztec Connect,246,232.9586491,0,232.9586491,232.9586491,70,102837.5395,84194.44898,18643.09052,187031.9885
2022/10/16,Aztec Connect,349,284.7317936,0,284.7317936,284.7317936,126,217734.4804,243051.953,-25317.47261,460786.4334
2022/10/17,Aztec Connect,278,256.2786092,0,256.2786092,256.2786092,102,238012.0317,197998.5873,40013.44439,436010.6191
2022/10/18,Aztec Connect,235,295.7767131,0,295.7767131,295.7767131,69,113104.8393,128213.3662,-15108.52693,241318.2055
2022/10/19,Aztec Connect,397,552.2288978,0,552.2288978,552.2288978,82,55819.85901,86792.73027,-30972.87126,142612.5893
2022/10/20,Aztec Connect,321,327.092219,0,327.092219,327.092219,96,146275.7554,109245.471,37030.28441,255521.2264
2022/10/21,Aztec Connect,360,305.89418,0,305.89418,305.89418,108,108658.7437,208414.3313,-99755.5876,317073.0749
2022/10/22,Aztec Connect,453,298.2071401,0,298.2071401,298.2071401,81,66572.26113,57915.895,8656.366136,124488.1561
2022/10/23,Aztec Connect,572,319.6797242,0,319.6797242,319.6797242,112,240571.7653,24597.82774,215973.9375,265169.593
2022/10/24,Aztec Connect,429,259.7504597,0,259.7504597,259.7504597,90,64612.72996,69687.00571,-5074.275752,134299.7357
2022/10/25,Aztec Connect,500,481.6563561,0,481.6563561,481.6563561,136,112722.7189,242281.4832,-129558.7642,355004.2021
2022/10/26,Aztec Connect,457,333.3469125,0,333.3469125,333.3469125,102,78729.28022,133090.8964,-54361.61614,211820.1766
2022/10/27,Aztec Connect,532,375.6132847,0,375.6132847,375.6132847,100,171469.7797,72781.6609,98688.11878,244251.4406
2022/10/28,Aztec Connect,544,417.4843162,0,417.4843162,417.4843162,105,186011.0913,144584.5448,41426.54645,330595.6361
2022/10/29,Aztec Connect,414,203.3114536,0,203.3114536,203.3114536,113,403976.7206,159469.4259,244507.2946,563446.1465
2022/10/30,Aztec Connect,593,275.4064692,0,275.4064692,275.4064692,96,85447.63615,73334.87605,12112.7601,158782.5122
2022/10/31,Aztec Connect,400,158.5238352,0,158.5238352,158.5238352,107,212351.8201,75722.80649,136629.0136,288074.6266
