day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/12/28,Messier 87 Black Hole,1,0,0,0,0,19,0,0,0,0
2022/12/29,Messier 87 Black Hole,2,0,0,0,0,7,0,0,0,0
2022/12/30,Messier 87 Black Hole,3,0,0,0,0,13,0,0,0,0
2022/12/31,Messier 87 Black Hole,6,0,1,-1,1,12,0,0,0,0
2023/1/1,Messier 87 Black Hole,4,0,0,0,0,11,0,0,0,0
2023/1/2,Messier 87 Black Hole,4,0,0,0,0,20,0,0,0,0
2023/1/3,Messier 87 Black Hole,6,0,0,0,0,19,0,0,0,0
2023/1/4,Messier 87 Black Hole,4,0,0,0,0,18,0,0,0,0
2023/1/5,Messier 87 Black Hole,0,0,0,0,0,14,0,0,0,0
2023/1/6,Messier 87 Black Hole,3,0,0,0,0,17,0,0,0,0
2023/1/7,Messier 87 Black Hole,9,0,1,-1,1,12,0,0,0,0
2023/1/8,Messier 87 Black Hole,6,0,0,0,0,18,0,0,0,0
2023/1/9,Messier 87 Black Hole,7,0,1.51852338,-1.51852338,1.51852338,30,2030.622839,2000.309139,30.3137,4030.931978
2023/1/10,Messier 87 Black Hole,11,0,0.8,-0.8,0.8,16,0,10.00325149,-10.00325149,10.00325149
2023/1/11,Messier 87 Black Hole,21,0,0.2,-0.2,0.2,106,0,10.00374941,-10.00374941,10.00374941
2023/1/12,Messier 87 Black Hole,2,0,0,0,0,20,0,0,0,0
2023/1/13,Messier 87 Black Hole,7,0,2.212902213,-2.212902213,2.212902213,18,299.9941135,299.9941135,0,599.9882271
2023/1/14,Messier 87 Black Hole,7,0,0,0,0,14,0,0,0,0
2023/1/15,Messier 87 Black Hole,5,0,1.5,-1.5,1.5,40,0,0,0,0
2023/1/16,Messier 87 Black Hole,11,2.57283,3.5,-0.92717,6.07283,28,0,0,0,0
2023/1/17,Messier 87 Black Hole,5,0,0,0,0,23,0,0,0,0
2023/1/18,Messier 87 Black Hole,8,0,0,0,0,30,0,0,0,0
2023/1/19,Messier 87 Black Hole,6,0,0,0,0,13,0,0,0,0
2023/1/20,Messier 87 Black Hole,5,0,0.108405459,-0.108405459,0.108405459,15,170.4896649,0,170.4896649,170.4896649
2023/1/21,Messier 87 Black Hole,3,0,0,0,0,8,0,0,0,0
2023/1/22,Messier 87 Black Hole,2,0,0,0,0,17,0,0,0,0
2023/1/23,Messier 87 Black Hole,19,0,1.502846085,-1.502846085,1.502846085,40,2301.754405,300.2288354,2001.525569,2601.98324
2023/1/24,Messier 87 Black Hole,17,0,0,0,0,41,0,800.6691306,-800.6691306,800.6691306
2023/1/25,Messier 87 Black Hole,11,0,0.3,-0.3,0.3,18,0,200.1615757,-200.1615757,200.1615757
2023/1/26,Messier 87 Black Hole,4,0,0,0,0,22,0,0,0,0
2023/1/27,Messier 87 Black Hole,5,0,0.5,-0.5,0.5,31,0,0,0,0
2023/1/28,Messier 87 Black Hole,3,0,0,0,0,25,100.0779941,100.0779941,0,200.1559882
2023/1/29,Messier 87 Black Hole,2,0,0,0,0,11,0,0,0,0
